Crash Time of Day,Collision Type,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Driver At Fault,Driver Distracted By,Vehicle First Impact Location,Vehicle Second Impact Location,Vehicle Body Type,Vehicle Movement,Speed Limit,Parked Vehicle
1,3,0,1,1,0,1,0,2,2,0,4,35,0
3,0,0,2,2,0,1,1,2,2,0,1,25,0
0,0,0,0,2,0,1,1,2,2,0,3,35,0
5,0,0,0,2,0,0,0,0,0,0,3,40,0
0,3,0,0,1,0,1,1,2,2,4,2,35,0
0,3,0,0,0,0,1,1,3,3,0,2,35,0
5,0,0,0,1,0,0,0,0,0,0,3,50,0
0,10,0,0,1,0,1,1,0,0,0,12,30,0
0,0,0,0,2,0,0,0,0,0,0,3,35,0
0,13,0,0,1,0,1,1,1,1,0,5,15,0
0,10,0,0,1,0,0,0,2,2,0,1,40,0
0,3,0,0,0,0,0,0,3,3,0,1,30,0
5,0,0,0,2,0,0,0,0,0,4,3,35,0
5,2,0,0,1,0,0,0,4,2,0,2,45,0
5,3,0,0,2,0,0,0,2,2,0,1,30,0
0,3,1,0,1,0,0,0,4,4,4,4,40,0
5,3,0,0,2,0,1,0,4,4,0,5,25,0
4,0,0,0,2,0,1,1,2,2,0,3,40,0
5,4,0,0,2,0,0,0,2,2,0,1,35,0
2,0,0,2,2,0,0,0,0,0,0,1,30,0
0,3,0,0,1,0,1,0,11,9,0,2,40,0
4,0,0,0,1,0,1,1,2,2,0,3,40,0
4,1,0,0,2,0,1,1,2,2,0,1,40,0
3,4,0,2,1,0,0,0,8,8,0,1,35,0
0,10,0,0,1,0,0,0,2,2,0,1,40,0
1,4,0,0,1,0,0,0,4,4,4,5,40,0
0,0,0,0,2,0,0,0,0,0,0,0,25,0
3,3,0,2,2,0,0,0,2,2,0,1,40,0
5,2,0,0,2,0,1,1,2,2,0,6,35,0
1,0,0,0,2,0,0,0,0,0,0,1,40,0
5,0,0,0,1,0,0,0,0,0,0,0,35,0
5,2,0,0,1,0,1,1,8,8,0,2,45,0
0,3,0,0,0,0,1,1,4,4,0,2,25,0
5,1,0,0,2,0,1,0,2,2,0,1,35,0
3,1,0,2,2,0,1,1,2,2,0,1,25,0
5,0,0,0,1,0,1,1,2,2,3,3,25,0
3,4,0,2,1,0,1,1,2,2,0,5,35,0
5,3,0,0,1,0,0,0,1,1,0,1,30,0
